GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
5ds1-g3-kaddem,tn.esprit.spring.kaddem.dto,DepartementDTO,16,116,11,11,0,8,9,11,0,9
5ds1-g3-kaddem,tn.esprit.spring.kaddem.dto,UniversiteDTO,21,160,15,15,0,7,12,15,0,12
5ds1-g3-kaddem,tn.esprit.spring.kaddem,KaddemApplication,8,0,0,0,3,0,2,0,2,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.controllers,DepartementRestController,0,58,0,0,0,13,0,6,0,6
5ds1-g3-kaddem,tn.esprit.spring.kaddem.controllers,EquipeRestController,40,0,0,0,12,0,7,0,7,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.controllers,UniversiteRestController,0,101,1,7,0,23,1,11,0,8
5ds1-g3-kaddem,tn.esprit.spring.kaddem.controllers,ContratRestController,59,0,0,0,15,0,10,0,10,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.controllers,EtudiantRestController,56,0,0,0,15,0,9,0,9,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,Universite,7,57,0,0,1,15,2,7,2,7
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,Niveau,21,0,0,0,2,0,1,0,1,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,Contrat,133,0,0,0,39,0,18,0,18,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,DetailEquipe,52,0,0,0,23,0,11,0,11,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,Option,27,0,0,0,2,0,1,0,1,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,Equipe,98,0,0,0,42,0,16,0,16,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,Departement,7,37,0,0,3,16,2,7,2,7
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,Etudiant,88,0,0,0,38,0,18,0,18,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.entities,Specialite,27,0,0,0,2,0,1,0,1,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.services,EquipeServiceImpl,173,0,22,0,37,0,19,0,8,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.services,ContratServiceImpl,259,0,26,0,55,0,24,0,11,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.services,UniversiteServiceImpl,0,111,0,6,0,24,0,11,0,8
5ds1-g3-kaddem,tn.esprit.spring.kaddem.services,EtudiantServiceImpl,96,0,0,0,20,0,10,0,10,0
5ds1-g3-kaddem,tn.esprit.spring.kaddem.services,DepartementServiceImpl,4,49,1,1,0,13,1,7,0,7
